timestamp,Susceptible,Diagnosed,Infected,Ailing,Recognized,Healed,Threatened,Extinct
32.0,0.8447720742477022,0.028414700999599928,0.07085403143727566,0.013351650683567081,0.025436491502330585,0.014305219764283408,0.002777268147755982,8.857988414806084e-5
33.0,0.801300280966322,0.03682902555875371,0.0881302796581326,0.01713481737505272,0.033820240380883236,0.01892123903191091,0.0037431574146280155,0.00012097628097966177
33.1275160939408,0.7952326494218777,0.03801732983815174,0.09044084938480114,0.017659912504750186,0.03504602141685561,0.019591142034954056,0.0038862713944633623,0.00012584067080900286
33.1275160939408,0.7952326494218777,0.03801732983815174,0.09044084938480114,0.017659912504750186,0.03504602141685561,0.019591142034954056,0.0038862713944633623,0.00012584067080900286
34.0,0.7507419848955218,0.04684319865312152,0.10657198270901483,0.02149896532100824,0.044463819558787,0.02471094080725291,0.005004668323174367,0.00016445639878213706
35.0,0.6944328387209424,0.05829278954023656,0.12468713281328367,0.026298199838091563,0.057640999879563996,0.03179849061654056,0.006627261134503912,0.00022230412350009434
36.0,0.6344690401721115,0.0707745654160742,0.14077607496429684,0.031259046291559525,0.07350624052285058,0.04024114760507278,0.008675477962050853,0.000298423732646557
36.80997470563182,0.5849875070602858,0.08123712392274832,0.1511791000479613,0.0351608982365142,0.08830845881218836,0.04806255180791038,0.010687775816697276,0.0003766009623571228
36.80997470563182,0.5849875070602858,0.08123712392274832,0.1511791000479613,0.0351608982365142,0.08830845881218836,0.04806255180791038,0.010687775816697276,0.0003766009623571228
37.0,0.5734414140911497,0.0836915729060853,0.15318020927470813,0.036033962571917925,0.09202614169058676,0.050020312577403685,0.011208998780139496,0.00039740477467174366
38.0,0.5140600708165474,0.0962822727599906,0.16063989326723246,0.04018179242894062,0.11300427687064762,0.061033545163630916,0.014273723793613077,0.00052444156606007
39.0,0.4586267642291237,0.1077423384940545,0.16263257225107294,0.04342311949842435,0.1358767078678694,0.0731075910162117,0.01790595164055027,0.0006849716693559318
40.0,0.4087150651690893,0.11740481947196717,0.15930187438979512,0.04556420342798011,0.1599717283957506,0.08603839470583038,0.02211933982314459,0.000884591283105522
41.0,0.3650724938602007,0.12476820263805488,0.15149653859469,0.04643610928311755,0.18460346554065432,0.09959525136338931,0.026898887129081974,0.0011290682574740857
41.29241129137808,0.3535052740956576,0.12643415503113953,0.14857500224805306,0.046429798869962936,0.19180676377048816,0.10364124830991425,0.02839788888833453,0.0012098854531127907
41.29241129137808,0.3535052740956576,0.12643415503113953,0.14857500224805306,0.046429798869962936,0.19180676377048816,0.10364124830991425,0.02839788888833453,0.0012098854531127907
42.0,0.3276952014825742,0.12951863545375097,0.14061132490812858,0.045958146691818955,0.20905144633284958,0.11353571537225325,0.032205416765256824,0.0014241296600305175
43.0,0.2961933502466135,0.13167494227040902,0.12780031183417478,0.04439440503786668,0.2324997972840859,0.12767080147742157,0.03799168807380181,0.0017747204422896145
44.0,0.2699292985381902,0.13143175485406605,0.1141220627159587,0.04201613696491987,0.2542834064732376,0.14183764888517394,0.044194353436619094,0.00218535479849736
44.868722481233426,0.25081245826259285,0.12947364416973253,0.1022237040279981,0.03944186442407701,0.2715210737899164,0.15406953597666218,0.049863980387369666,0.002593755628314093
44.868722481233426,0.25081245826259285,0.12947364416973253,0.1022237040279981,0.03944186442407701,0.2715210737899164,0.15406953597666218,0.049863980387369666,0.002593755628314093
45.0,0.2481897988898914,0.12905024780301866,0.10045644348420041,0.03901922762532193,0.27397714379503657,0.1559073276943426,0.050740037733684316,0.0026597896411669816
46.0,0.2302485261491021,0.1248889949993405,0.08742629272522888,0.03563662982420764,0.29126401572838634,0.16978353185790807,0.05755100010510314,0.003201025277386158
47.0,0.21545178950924387,0.11936044445618063,0.0753870750215374,0.032088761048929035,0.3059554075450798,0.1833977655571655,0.0645473966579259,0.0038113768706007248
48.0,0.20323484521546514,0.11283950437506199,0.06454547476807505,0.028537596090640917,0.31799488673669574,0.1967028342980081,0.07165252770697282,0.004492347475743081
48.662571035398805,0.1963293417710295,0.10813851733447849,0.05805794579127906,0.02625550024528365,0.32451683875990744,0.20533375938521953,0.07638532210016129,0.004982791279303906
48.662571035398805,0.1963293417710295,0.10813851733447849,0.05805794579127906,0.02625550024528365,0.32451683875990744,0.20533375938521953,0.07638532210016129,0.004982791279303906
49.0,0.19313053362531027,0.10566454297426528,0.054964260397212146,0.02513157520275871,0.32739792912829163,0.20967075985008418,0.07879581045341273,0.0052446050353279474
50.0,0.18474684935076546,0.09813895199612771,0.04661054495160241,0.02196980061966648,0.33426758027453624,0.22228696830443248,0.08591114090066987,0.006068180268862249
51.0,0.17776266216922243,0.09048711465641925,0.039424574393171555,0.01905013436545856,0.3388295876766918,0.23454649290060275,0.09293694848362856,0.006962502021467981
52.0,0.17191523422383592,0.08289882576620729,0.033307957674038546,0.016390937509357276,0.34128946713772795,0.24645071735431015,0.09982044056693232,0.007926436434253408
52.83165992814018,0.16776633273793198,0.07675625624051895,0.028937097119625586,0.014417497755886416,0.3418526251971672,0.2560851187220715,0.10540514923368391,0.008779939659777329
52.83165992814018,0.16776633273793198,0.07675625624051895,0.028937097119625586,0.014417497755886416,0.3418526251971672,0.2560851187220715,0.10540514923368391,0.008779939659777329
53.0,0.16699570388891577,0.07553949128687687,0.028122771947171332,0.014047753621299367,0.3418115517614537,0.2580064573156076,0.10651797005082145,0.008958316794516754
54.0,0.16283562493706363,0.06851943875528453,0.023742274560806777,0.012018673586024733,0.3406122667653494,0.2692240781631074,0.1129915868595204,0.010056073039506041
55.0,0.15929708495647124,0.061894339258053446,0.020069184022397317,0.010250697471050202,0.3379469268781754,0.28011559218920434,0.11920889484816125,0.01121729704314964
56.0,0.1562682162731115,0.05570853945665092,0.0170004801445886,0.00872117486410155,0.3340238425772801,0.2906939635576993,0.12514449634032815,0.012439303452902815
56.44452182845469,0.15506118092108218,0.05310874490049197,0.015803562318381127,0.008115430264679282,0.33192327815954403,0.29529924260698404,0.1276873052514749,0.013001272244025369
56.44452182845469,0.15506118092108218,0.05310874490049197,0.015803562318381127,0.008115430264679282,0.33192327815954403,0.29529924260698404,0.1276873052514749,0.013001272244025369
